TASKID;SCHEDULETYPEID;LINES_LINEID;PLANVERSIONID
580;5192019;2472;253
580;5192018;3192;253
581;5192018;2101;253
581;5192019;142;253
582;5192019;3172;253
582;5192018;3722;253
583;5192018;2141;253
583;5192019;2301;253
584;5192019;437;253
585;5192019;142;253
585;5192018;347;253
586;5192019;2524;253
586;5192018;3141;253
587;5192019;2212;253
587;5192018;437;253
588;5192018;311;253
588;5192019;3171;253
589;5192019;2212;253
589;5192018;2141;253
590;5192019;437;253
590;5192018;2101;253
591;5192019;2211;253
591;5192018;421;253
592;5192019;2212;253
592;5192018;2273;253
593;5192019;2241;253
593;5192018;437;253
594;5192019;2274;253
594;5192018;142;253
595;5192019;142;253
595;5192018;437;253
596;5192019;2472;253
596;5192018;437;253
597;5192019;142;253
597;5192018;347;253
598;5192019;2842;253
598;5192018;311;253
599;5192019;2473;253
599;5192018;2141;253
600;5192018;373;253
600;5192019;2401;253
601;5192018;2141;253
601;5192019;3441;253
602;5192019;3171;253
602;5192018;373;253
603;5192018;373;253
603;5192019;2524;253
604;5192019;2211;253
604;5192018;2301;253
605;5192019;2241;253
605;5192018;2212;253
606;5192019;2212;253
555;5313024;441;257
556;5313027;427;257
556;5313024;437;257
557;5313027;2301;257
557;5313024;2121;257
558;5313027;3721;257
558;5313024;3422;257
559;5313027;437;257
559;5313024;373;257
560;5313027;3721;257
560;5313024;2121;257
561;5313027;2274;257
561;5313024;373;257
562;5313024;2472;257
562;5313027;2524;257
563;5313027;437;257
563;5313024;437;257
564;5313027;437;257
564;5313024;2121;257
565;5313027;2524;257
565;5313024;441;257
566;5313027;2301;257
566;5313024;437;257
567;5313027;2842;257
567;5313024;2102;257
568;5313027;2212;257
568;5313024;140;257
569;5313027;3191;257
569;5313024;2473;257
570;5313027;2301;257
570;5313024;3722;257
571;5313027;3781;257
571;5313024;347;257
572;5313027;3411;257
572;5313024;431;257
573;5313027;271;257
573;5313024;3722;257
574;5313024;437;257
574;5313027;3141;257
575;5313027;2212;257
575;5313024;1571;257
576;5313027;3191;257
576;5313024;373;257
577;5313027;3411;257
577;5313024;2211;257
578;5313027;2241;257
578;5313024;2211;257
579;5313027;2524;257
579;5313024;3372;257
580;5313027;2472;257
580;5313024;3192;257
581;5313027;2841;257
581;5313024;2101;257
582;5313024;3722;257
583;5313027;2301;257
583;5313024;2141;257
584;5313027;437;257
584;5313024;2243;257
585;5313024;347;257
586;5313027;2524;257
586;5313024;3171;257
587;5313027;2212;257
587;5313024;437;257
588;5313027;3171;257
588;5313024;2211;257
589;5313027;2212;257
589;5313024;2141;257
590;5313027;437;257
590;5313024;2101;257
591;5313024;421;257
592;5313027;2212;257
592;5313024;2273;257
593;5313027;2241;257
593;5313024;437;257
594;5313027;2274;257
594;5313024;142;257
595;5313024;437;257
596;5313024;437;257
596;5313027;2472;257
597;5313024;347;257
598;5313024;2211;257
599;5313024;2141;257
600;5313024;373;257
600;5313027;2401;257
601;5313024;2141;257
601;5313027;3441;257
602;5313027;421;257
602;5313024;373;257
603;5313024;373;257
603;5313027;2524;257
604;5313027;2524;257
604;5313024;2301;257
605;5313027;2241;257
