CALENDARID;OPERATION;SCHEDULETYPEID;PLANVERSIONID
33706;12-DEC-17;4772018;221
33665;26-nov-17;4732125;220
33666;27-nov-17;4732025;220
35316;2-feb-18;4832041;226
35317;3-feb-18;4832042;226
35318;4-feb-18;4832082;226
35407;7-feb-18;4832012;227
35408;8-feb-18;4832012;227
35312;29-JAN-18;4832041;226
35313;30-JAN-18;4832041;226
35409;9-feb-18;4832012;227
35410;10-feb-18;4832042;227
35411;11-feb-18;4832043;227
35412;12-feb-18;4832012;227
35413;13-feb-18;4832012;227
35414;14-feb-18;4832012;227
35415;15-feb-18;4832012;227
35416;16-feb-18;4832012;227
35417;17-feb-18;4832042;227
35418;18-feb-18;4832043;227
35745;19-feb-18;4832122;228
35746;20-feb-18;4832122;228
35747;21-feb-18;4832122;228
35748;22-feb-18;4832122;228
35749;23-feb-18;4832122;228
35750;24-feb-18;4832042;228
35751;25-feb-18;4832043;228
35752;26-feb-18;4832122;228
35753;27-feb-18;4832122;228
35754;28-feb-18;4832122;228
35755;1-mar-18;4832122;228
35756;2-mar-18;4832122;228
35757;3-mar-18;4832042;228
35758;4-mar-18;4832043;228
36545;20-mar-18;4872041;233
36546;21-mar-18;4872041;233
36547;22-mar-18;4872041;233
36548;23-mar-18;4872041;233
37145;09-APR-18;4872041;237
37146;10-APR-18;4872041;237
37147;11-APR-18;4872041;237
37148;12-APR-18;4872041;237
37149;13-APR-18;4872041;237
37150;14-APR-18;4872042;237
37151;15-APR-18;4872043;237
37152;16-APR-18;4872041;237
37153;17-APR-18;4872041;237
37154;18-APR-18;4872041;237
37155;19-APR-18;4872041;237
37156;20-APR-18;4872041;237
37157;21-APR-18;4872042;237
37158;22-APR-18;4872043;237
37159;23-APR-18;4872041;237
37160;24-APR-18;4872041;237
37161;25-APR-18;4872041;237
37162;26-APR-18;4872041;237
37163;27-APR-18;4872041;237
37164;28-APR-18;4872042;237
37165;29-APR-18;4872043;237
37166;30-APR-18;4872041;237
33265;9-sep-17;4652016;202
33266;10-sep-17;4652038;202
32905;24-jul-17;4612024;198
32906;25-jul-17;4612024;198
35405;5-feb-18;4832012;227
